JulianDay,ANOC,CAPA,ERMO,ERPE,LIGR,LUAR,MIAL,PEBR,POBI,VASI
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
199,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
200,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
201,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
202,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
203,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
204,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
205,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0
206,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0
207,3.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0
208,3.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0
209,4.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0
210,4.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0
211,4.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0
212,4.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0
213,4.0,4.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,4.0
214,4.0,4.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,4.0
215,4.0,4.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,4.0
216,4.0,4.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,4.0
217,4.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0
218,4.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0
219,4.0,4.0,1.0,1.0,1.0,6.0,5.0,2.0,1.0,5.0
220,3.0,4.0,1.0,1.0,1.0,8.0,5.0,2.0,3.0,6.0
221,2.0,4.0,1.0,3.0,1.0,9.0,5.0,2.0,4.0,6.0
222,2.0,4.0,1.0,4.0,1.0,9.0,5.0,3.0,4.0,5.0
223,2.0,4.0,1.0,5.0,1.0,9.0,5.0,3.0,6.0,5.0
224,2.0,4.0,1.0,6.0,2.0,9.0,5.0,3.0,6.0,5.0
225,1.0,5.0,1.0,5.0,3.0,9.0,5.0,3.0,6.0,5.0
226,1.0,5.0,1.0,5.0,3.0,9.0,5.0,3.0,6.0,5.0
227,1.0,5.0,1.0,5.0,3.0,9.0,5.0,3.0,6.0,5.0
228,1.0,6.0,1.0,6.0,4.0,8.0,5.0,3.0,6.0,5.0
229,1.0,6.0,1.0,6.0,4.0,8.0,5.0,2.0,6.0,5.0
230,1.0,6.0,1.0,6.0,4.0,8.0,5.0,2.0,6.0,5.0
231,1.0,6.0,1.0,6.0,4.0,7.0,4.0,2.0,6.0,5.0
232,1.0,6.0,0.0,6.0,4.0,7.0,2.0,2.0,6.0,4.0
233,1.0,6.0,0.0,6.0,4.0,7.0,1.0,2.0,6.0,4.0
234,1.0,6.0,0.0,6.0,4.0,7.0,1.0,2.0,6.0,4.0
235,1.0,6.0,0.0,6.0,4.0,7.0,1.0,2.0,6.0,4.0
236,1.0,6.0,1.0,6.0,4.0,7.0,1.0,2.0,6.0,4.0
237,1.0,5.0,0.0,6.0,4.0,7.0,1.0,2.0,6.0,4.0
238,1.0,5.0,0.0,6.0,4.0,7.0,1.0,1.0,6.0,4.0
239,1.0,5.0,0.0,6.0,4.0,7.0,1.0,1.0,6.0,4.0
240,0.0,5.0,0.0,6.0,4.0,7.0,1.0,1.0,6.0,4.0
241,0.0,4.0,0.0,6.0,3.0,7.0,1.0,0.0,5.0,4.0
242,0.0,4.0,0.0,6.0,3.0,6.0,1.0,0.0,5.0,4.0
243,0.0,4.0,0.0,6.0,3.0,6.0,1.0,0.0,5.0,4.0
244,0.0,4.0,0.0,6.0,3.0,6.0,1.0,0.0,5.0,4.0
245,0.0,4.0,0.0,6.0,3.0,5.0,0.0,0.0,5.0,4.0
246,0.0,3.0,0.0,6.0,3.0,5.0,0.0,0.0,5.0,4.0
247,0.0,3.0,0.0,5.0,2.0,5.0,0.0,0.0,5.0,4.0
248,0.0,3.0,0.0,5.0,1.0,5.0,0.0,0.0,5.0,4.0
249,0.0,3.0,0.0,5.0,1.0,5.0,0.0,0.0,5.0,3.0
250,0.0,3.0,0.0,5.0,1.0,5.0,0.0,0.0,5.0,3.0
251,0.0,3.0,0.0,5.0,1.0,2.0,0.0,0.0,5.0,2.0
252,0.0,3.0,0.0,5.0,1.0,2.0,0.0,0.0,5.0,2.0
253,0.0,3.0,0.0,5.0,1.0,1.0,0.0,0.0,5.0,2.0
254,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,4.0,2.0
255,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0
256,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0
257,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0
258,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0
259,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0
260,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0
261,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
262,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
263,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
264,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
265,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
