Date,Year,Month,Day,Site,Species,Flower
8/15/14,2014,8,15,1,ANOC,0.0
8/16/14,2014,8,16,1,ANOC,0.0
8/17/14,2014,8,17,1,ANOC,0.0
8/18/14,2014,8,18,1,ANOC,0.0
8/19/14,2014,8,19,1,ANOC,0.0
8/20/14,2014,8,20,1,ANOC,0.0
8/21/14,2014,8,21,1,ANOC,0.0
8/22/14,2014,8,22,1,ANOC,0.0
8/23/14,2014,8,23,1,ANOC,0.0
8/24/14,2014,8,24,1,ANOC,0.0
8/25/14,2014,8,25,1,ANOC,0.0
8/26/14,2014,8,26,1,ANOC,0.0
8/27/14,2014,8,27,1,ANOC,0.0
8/28/14,2014,8,28,1,ANOC,0.0
8/29/14,2014,8,29,1,ANOC,0.0
8/30/14,2014,8,30,1,ANOC,0.0
8/31/14,2014,8,31,1,ANOC,0.0
9/1/14,2014,9,1,1,ANOC,0.0
9/2/14,2014,9,2,1,ANOC,0.0
9/3/14,2014,9,3,1,ANOC,0.0
9/4/14,2014,9,4,1,ANOC,0.0
9/5/14,2014,9,5,1,ANOC,0.0
9/6/14,2014,9,6,1,ANOC,0.0
9/7/14,2014,9,7,1,ANOC,0.0
9/8/14,2014,9,8,1,ANOC,0.0
9/9/14,2014,9,9,1,ANOC,0.0
9/10/14,2014,9,10,1,ANOC,0.0
9/11/14,2014,9,11,1,ANOC,0.0
9/12/14,2014,9,12,1,ANOC,0.0
9/13/14,2014,9,13,1,ANOC,0.0
9/14/14,2014,9,14,1,ANOC,0.0
9/15/14,2014,9,15,1,ANOC,0.0
9/16/14,2014,9,16,1,ANOC,0.0
9/17/14,2014,9,17,1,ANOC,0.0
9/18/14,2014,9,18,1,ANOC,0.0
9/19/14,2014,9,19,1,ANOC,0.0
9/20/14,2014,9,20,1,ANOC,0.0
9/21/14,2014,9,21,1,ANOC,0.0
9/22/14,2014,9,22,1,ANOC,0.0
9/23/14,2014,9,23,1,ANOC,0.0
9/24/14,2014,9,24,1,ANOC,0.0
9/25/14,2014,9,25,1,ANOC,0.0
9/26/14,2014,9,26,1,ANOC,0.0
9/27/14,2014,9,27,1,ANOC,0.0
9/28/14,2014,9,28,1,ANOC,0.0
9/29/14,2014,9,29,1,ANOC,0.0
9/30/14,2014,9,30,1,ANOC,0.0
10/1/14,2014,10,1,1,ANOC,0.0
10/2/14,2014,10,2,1,ANOC,0.0
10/3/14,2014,10,3,1,ANOC,0.0
10/4/14,2014,10,4,1,ANOC,0.0
10/5/14,2014,10,5,1,ANOC,0.0
10/6/14,2014,10,6,1,ANOC,0.0
10/7/14,2014,10,7,1,ANOC,0.0
10/8/14,2014,10,8,1,ANOC,0.0
10/9/14,2014,10,9,1,ANOC,0.0
10/10/14,2014,10,10,1,ANOC,0.0
10/11/14,2014,10,11,1,ANOC,0.0
10/12/14,2014,10,12,1,ANOC,0.0
10/13/14,2014,10,13,1,ANOC,0.0
10/14/14,2014,10,14,1,ANOC,0.0
10/15/14,2014,10,15,1,ANOC,0.0
10/16/14,2014,10,16,1,ANOC,0.0
10/17/14,2014,10,17,1,ANOC,0.0
10/18/14,2014,10,18,1,ANOC,0.0
10/19/14,2014,10,19,1,ANOC,0.0
10/20/14,2014,10,20,1,ANOC,0.0
10/21/14,2014,10,21,1,ANOC,0.0
10/22/14,2014,10,22,1,ANOC,0.0
10/23/14,2014,10,23,1,ANOC,0.0
10/24/14,2014,10,24,1,ANOC,0.0
10/25/14,2014,10,25,1,ANOC,0.0
10/26/14,2014,10,26,1,ANOC,0.0
10/27/14,2014,10,27,1,ANOC,0.0
10/28/14,2014,10,28,1,ANOC,0.0
10/29/14,2014,10,29,1,ANOC,0.0
10/30/14,2014,10,30,1,ANOC,0.0
10/31/14,2014,10,31,1,ANOC,0.0
11/1/14,2014,11,1,1,ANOC,0.0
11/2/14,2014,11,2,1,ANOC,0.0
11/3/14,2014,11,3,1,ANOC,0.0
11/4/14,2014,11,4,1,ANOC,0.0
11/5/14,2014,11,5,1,ANOC,0.0
11/6/14,2014,11,6,1,ANOC,0.0
11/7/14,2014,11,7,1,ANOC,0.0
11/8/14,2014,11,8,1,ANOC,0.0
11/9/14,2014,11,9,1,ANOC,0.0
11/10/14,2014,11,10,1,ANOC,0.0
11/11/14,2014,11,11,1,ANOC,0.0
11/12/14,2014,11,12,1,ANOC,0.0
11/13/14,2014,11,13,1,ANOC,0.0
11/14/14,2014,11,14,1,ANOC,0.0
11/15/14,2014,11,15,1,ANOC,0.0
11/16/14,2014,11,16,1,ANOC,0.0
11/17/14,2014,11,17,1,ANOC,0.0
11/18/14,2014,11,18,1,ANOC,0.0
11/19/14,2014,11,19,1,ANOC,0.0
11/20/14,2014,11,20,1,ANOC,0.0
11/21/14,2014,11,21,1,ANOC,0.0
11/22/14,2014,11,22,1,ANOC,0.0
11/23/14,2014,11,23,1,ANOC,0.0
11/24/14,2014,11,24,1,ANOC,0.0
11/25/14,2014,11,25,1,ANOC,0.0
11/26/14,2014,11,26,1,ANOC,0.0
11/27/14,2014,11,27,1,ANOC,0.0
11/28/14,2014,11,28,1,ANOC,0.0
11/29/14,2014,11,29,1,ANOC,0.0
11/30/14,2014,11,30,1,ANOC,0.0
12/1/14,2014,12,1,1,ANOC,0.0
12/2/14,2014,12,2,1,ANOC,0.0
12/3/14,2014,12,3,1,ANOC,0.0
12/4/14,2014,12,4,1,ANOC,0.0
12/5/14,2014,12,5,1,ANOC,0.0
12/6/14,2014,12,6,1,ANOC,0.0
12/7/14,2014,12,7,1,ANOC,0.0
12/8/14,2014,12,8,1,ANOC,0.0
12/9/14,2014,12,9,1,ANOC,0.0
12/10/14,2014,12,10,1,ANOC,0.0
12/11/14,2014,12,11,1,ANOC,0.0
12/12/14,2014,12,12,1,ANOC,0.0
12/13/14,2014,12,13,1,ANOC,0.0
12/14/14,2014,12,14,1,ANOC,0.0
12/15/14,2014,12,15,1,ANOC,0.0
12/16/14,2014,12,16,1,ANOC,0.0
12/17/14,2014,12,17,1,ANOC,0.0
12/18/14,2014,12,18,1,ANOC,0.0
12/19/14,2014,12,19,1,ANOC,0.0
12/20/14,2014,12,20,1,ANOC,0.0
12/21/14,2014,12,21,1,ANOC,0.0
12/22/14,2014,12,22,1,ANOC,0.0
12/23/14,2014,12,23,1,ANOC,0.0
12/24/14,2014,12,24,1,ANOC,0.0
12/25/14,2014,12,25,1,ANOC,0.0
12/26/14,2014,12,26,1,ANOC,0.0
12/27/14,2014,12,27,1,ANOC,0.0
12/28/14,2014,12,28,1,ANOC,0.0
12/29/14,2014,12,29,1,ANOC,0.0
12/30/14,2014,12,30,1,ANOC,0.0
12/31/14,2014,12,31,1,ANOC,0.0
1/1/14,2014,1,1,2,ANOC,0.0
1/2/14,2014,1,2,2,ANOC,0.0
1/3/14,2014,1,3,2,ANOC,0.0
1/4/14,2014,1,4,2,ANOC,0.0
1/5/14,2014,1,5,2,ANOC,0.0
1/6/14,2014,1,6,2,ANOC,0.0
1/7/14,2014,1,7,2,ANOC,0.0
1/8/14,2014,1,8,2,ANOC,0.0
1/9/14,2014,1,9,2,ANOC,0.0
1/10/14,2014,1,10,2,ANOC,0.0
1/11/14,2014,1,11,2,ANOC,0.0
1/12/14,2014,1,12,2,ANOC,0.0
1/13/14,2014,1,13,2,ANOC,0.0
1/14/14,2014,1,14,2,ANOC,0.0
1/15/14,2014,1,15,2,ANOC,0.0
1/16/14,2014,1,16,2,ANOC,0.0
1/17/14,2014,1,17,2,ANOC,0.0
1/18/14,2014,1,18,2,ANOC,0.0
1/19/14,2014,1,19,2,ANOC,0.0
1/20/14,2014,1,20,2,ANOC,0.0
1/21/14,2014,1,21,2,ANOC,0.0
1/22/14,2014,1,22,2,ANOC,0.0
1/23/14,2014,1,23,2,ANOC,0.0
1/24/14,2014,1,24,2,ANOC,0.0
1/25/14,2014,1,25,2,ANOC,0.0
1/26/14,2014,1,26,2,ANOC,0.0
1/27/14,2014,1,27,2,ANOC,0.0
1/28/14,2014,1,28,2,ANOC,0.0
1/29/14,2014,1,29,2,ANOC,0.0
1/30/14,2014,1,30,2,ANOC,0.0
1/31/14,2014,1,31,2,ANOC,0.0
2/1/14,2014,2,1,2,ANOC,0.0
2/2/14,2014,2,2,2,ANOC,0.0
2/3/14,2014,2,3,2,ANOC,0.0
2/4/14,2014,2,4,2,ANOC,0.0
2/5/14,2014,2,5,2,ANOC,0.0
2/6/14,2014,2,6,2,ANOC,0.0
2/7/14,2014,2,7,2,ANOC,0.0
2/8/14,2014,2,8,2,ANOC,0.0
2/9/14,2014,2,9,2,ANOC,0.0
2/10/14,2014,2,10,2,ANOC,0.0
2/11/14,2014,2,11,2,ANOC,0.0
2/12/14,2014,2,12,2,ANOC,0.0
2/13/14,2014,2,13,2,ANOC,0.0
2/14/14,2014,2,14,2,ANOC,0.0
2/15/14,2014,2,15,2,ANOC,0.0
2/16/14,2014,2,16,2,ANOC,0.0
2/17/14,2014,2,17,2,ANOC,0.0
2/18/14,2014,2,18,2,ANOC,0.0
2/19/14,2014,2,19,2,ANOC,0.0
2/20/14,2014,2,20,2,ANOC,0.0
2/21/14,2014,2,21,2,ANOC,0.0
2/22/14,2014,2,22,2,ANOC,0.0
2/23/14,2014,2,23,2,ANOC,0.0
2/24/14,2014,2,24,2,ANOC,0.0
2/25/14,2014,2,25,2,ANOC,0.0
2/26/14,2014,2,26,2,ANOC,0.0
2/27/14,2014,2,27,2,ANOC,0.0
2/28/14,2014,2,28,2,ANOC,0.0
3/1/14,2014,3,1,2,ANOC,0.0
3/2/14,2014,3,2,2,ANOC,0.0
3/3/14,2014,3,3,2,ANOC,0.0
3/4/14,2014,3,4,2,ANOC,0.0
3/5/14,2014,3,5,2,ANOC,0.0
3/6/14,2014,3,6,2,ANOC,0.0
3/7/14,2014,3,7,2,ANOC,0.0
3/8/14,2014,3,8,2,ANOC,0.0
3/9/14,2014,3,9,2,ANOC,0.0
3/10/14,2014,3,10,2,ANOC,0.0
3/11/14,2014,3,11,2,ANOC,0.0
3/12/14,2014,3,12,2,ANOC,0.0
3/13/14,2014,3,13,2,ANOC,0.0
3/14/14,2014,3,14,2,ANOC,0.0
3/15/14,2014,3,15,2,ANOC,0.0
3/16/14,2014,3,16,2,ANOC,0.0
3/17/14,2014,3,17,2,ANOC,0.0
3/18/14,2014,3,18,2,ANOC,0.0
3/19/14,2014,3,19,2,ANOC,0.0
3/20/14,2014,3,20,2,ANOC,0.0
3/21/14,2014,3,21,2,ANOC,0.0
3/22/14,2014,3,22,2,ANOC,0.0
3/23/14,2014,3,23,2,ANOC,0.0
3/24/14,2014,3,24,2,ANOC,0.0
3/25/14,2014,3,25,2,ANOC,0.0
3/26/14,2014,3,26,2,ANOC,0.0
3/27/14,2014,3,27,2,ANOC,0.0
3/28/14,2014,3,28,2,ANOC,0.0
3/29/14,2014,3,29,2,ANOC,0.0
3/30/14,2014,3,30,2,ANOC,0.0
3/31/14,2014,3,31,2,ANOC,0.0
4/1/14,2014,4,1,2,ANOC,0.0
4/2/14,2014,4,2,2,ANOC,0.0
4/3/14,2014,4,3,2,ANOC,0.0
4/4/14,2014,4,4,2,ANOC,0.0
4/5/14,2014,4,5,2,ANOC,0.0
4/6/14,2014,4,6,2,ANOC,0.0
4/7/14,2014,4,7,2,ANOC,0.0
4/8/14,2014,4,8,2,ANOC,0.0
4/9/14,2014,4,9,2,ANOC,0.0
4/10/14,2014,4,10,2,ANOC,0.0
4/11/14,2014,4,11,2,ANOC,0.0
4/12/14,2014,4,12,2,ANOC,0.0
4/13/14,2014,4,13,2,ANOC,0.0
4/14/14,2014,4,14,2,ANOC,0.0
4/15/14,2014,4,15,2,ANOC,0.0
4/16/14,2014,4,16,2,ANOC,0.0
4/17/14,2014,4,17,2,ANOC,0.0
4/18/14,2014,4,18,2,ANOC,0.0
4/19/14,2014,4,19,2,ANOC,0.0
4/20/14,2014,4,20,2,ANOC,0.0
4/21/14,2014,4,21,2,ANOC,0.0
4/22/14,2014,4,22,2,ANOC,0.0
4/23/14,2014,4,23,2,ANOC,0.0
4/24/14,2014,4,24,2,ANOC,0.0
4/25/14,2014,4,25,2,ANOC,0.0
4/26/14,2014,4,26,2,ANOC,0.0
4/27/14,2014,4,27,2,ANOC,0.0
4/28/14,2014,4,28,2,ANOC,0.0
4/29/14,2014,4,29,2,ANOC,0.0
4/30/14,2014,4,30,2,ANOC,0.0
5/1/14,2014,5,1,2,ANOC,0.0
5/2/14,2014,5,2,2,ANOC,0.0
5/3/14,2014,5,3,2,ANOC,0.0
5/4/14,2014,5,4,2,ANOC,0.0
5/5/14,2014,5,5,2,ANOC,0.0
5/6/14,2014,5,6,2,ANOC,0.0
5/7/14,2014,5,7,2,ANOC,0.0
5/8/14,2014,5,8,2,ANOC,0.0
5/9/14,2014,5,9,2,ANOC,0.0
5/10/14,2014,5,10,2,ANOC,0.0
5/11/14,2014,5,11,2,ANOC,0.0
5/12/14,2014,5,12,2,ANOC,0.0
5/13/14,2014,5,13,2,ANOC,0.0
5/14/14,2014,5,14,2,ANOC,0.0
5/15/14,2014,5,15,2,ANOC,0.0
5/16/14,2014,5,16,2,ANOC,0.0
5/17/14,2014,5,17,2,ANOC,0.0
5/18/14,2014,5,18,2,ANOC,0.0
5/19/14,2014,5,19,2,ANOC,0.0
5/20/14,2014,5,20,2,ANOC,0.0
5/21/14,2014,5,21,2,ANOC,0.0
5/22/14,2014,5,22,2,ANOC,0.0
5/23/14,2014,5,23,2,ANOC,0.0
5/24/14,2014,5,24,2,ANOC,0.0
5/25/14,2014,5,25,2,ANOC,0.0
5/26/14,2014,5,26,2,ANOC,0.0
5/27/14,2014,5,27,2,ANOC,0.0
5/28/14,2014,5,28,2,ANOC,0.0
5/29/14,2014,5,29,2,ANOC,0.0
5/30/14,2014,5,30,2,ANOC,0.0
5/31/14,2014,5,31,2,ANOC,0.0
6/1/14,2014,6,1,2,ANOC,0.0
6/2/14,2014,6,2,2,ANOC,0.0
6/3/14,2014,6,3,2,ANOC,0.0
6/4/14,2014,6,4,2,ANOC,0.0
6/5/14,2014,6,5,2,ANOC,0.0
6/6/14,2014,6,6,2,ANOC,0.0
6/7/14,2014,6,7,2,ANOC,0.0
6/8/14,2014,6,8,2,ANOC,0.0
6/9/14,2014,6,9,2,ANOC,0.0
6/10/14,2014,6,10,2,ANOC,0.0
6/11/14,2014,6,11,2,ANOC,0.0
6/12/14,2014,6,12,2,ANOC,0.0
6/13/14,2014,6,13,2,ANOC,0.0
6/14/14,2014,6,14,2,ANOC,0.0
6/15/14,2014,6,15,2,ANOC,0.0
6/16/14,2014,6,16,2,ANOC,0.0
6/17/14,2014,6,17,2,ANOC,0.0
6/18/14,2014,6,18,2,ANOC,0.0
6/19/14,2014,6,19,2,ANOC,0.0
6/20/14,2014,6,20,2,ANOC,0.0
6/21/14,2014,6,21,2,ANOC,0.0
6/22/14,2014,6,22,2,ANOC,0.0
6/23/14,2014,6,23,2,ANOC,0.0
6/24/14,2014,6,24,2,ANOC,0.0
6/25/14,2014,6,25,2,ANOC,0.0
6/26/14,2014,6,26,2,ANOC,0.0
6/27/14,2014,6,27,2,ANOC,0.0
6/28/14,2014,6,28,2,ANOC,0.0
6/29/14,2014,6,29,2,ANOC,0.0
6/30/14,2014,6,30,2,ANOC,0.0
7/1/14,2014,7,1,2,ANOC,0.0
7/2/14,2014,7,2,2,ANOC,0.0
7/3/14,2014,7,3,2,ANOC,0.0
7/4/14,2014,7,4,2,ANOC,0.0
7/5/14,2014,7,5,2,ANOC,0.0
7/6/14,2014,7,6,2,ANOC,0.0
7/7/14,2014,7,7,2,ANOC,0.0
7/8/14,2014,7,8,2,ANOC,0.0
7/9/14,2014,7,9,2,ANOC,0.0
7/10/14,2014,7,10,2,ANOC,0.0
7/11/14,2014,7,11,2,ANOC,0.0
7/12/14,2014,7,12,2,ANOC,0.0
7/13/14,2014,7,13,2,ANOC,0.0
7/14/14,2014,7,14,2,ANOC,0.0
7/15/14,2014,7,15,2,ANOC,0.0
7/16/14,2014,7,16,2,ANOC,0.0
7/17/14,2014,7,17,2,ANOC,0.0
7/18/14,2014,7,18,2,ANOC,0.0
7/19/14,2014,7,19,2,ANOC,0.0
7/20/14,2014,7,20,2,ANOC,0.0
7/21/14,2014,7,21,2,ANOC,0.0
7/22/14,2014,7,22,2,ANOC,0.0
7/23/14,2014,7,23,2,ANOC,0.0
7/24/14,2014,7,24,2,ANOC,0.0
7/25/14,2014,7,25,2,ANOC,0.0
7/26/14,2014,7,26,2,ANOC,0.0
7/27/14,2014,7,27,2,ANOC,0.0
7/28/14,2014,7,28,2,ANOC,0.0
7/29/14,2014,7,29,2,ANOC,0.0
7/30/14,2014,7,30,2,ANOC,0.0
7/31/14,2014,7,31,2,ANOC,0.0
8/1/14,2014,8,1,2,ANOC,0.0
8/2/14,2014,8,2,2,ANOC,0.0
8/3/14,2014,8,3,2,ANOC,0.0
8/4/14,2014,8,4,2,ANOC,0.0
